香港频道,#genre# 
翡翠台,http://kele666.serv00.net/Smart.php?id=jade_twn
翡翠台 backup,http://kele666.serv00.net/Smart.php?id=Jade_xue
iNews 新闻台,http://kele666.serv00.net/Smart.php?id=inews_twn
J 2,http://kele666.serv00.net/Smart.php?id=j2_twn
珍珠台,http://kele666.serv00.net/Smart.php?id=pearl_twn
凤凰香港,http://kele666.serv00.net/Smart.php?id=hkphoenix_twn
HOY资讯台,http://kele666.serv00.net/Smart.php?id=hoycaijing_twn
RHK 31,http://kele666.serv00.net/Smart.php?id=rhk31_twn
VIUTV1,http://kele666.serv00.net/Smart.php?id=viu1_twn
RHK 32,http://kele666.serv00.net/Smart.php?id=rhk32_twn
凤凰卫视,http://kele666.serv00.net/Smart.php?id=phoenixtv_hd
凤凰资讯,http://kele666.serv00.net/Smart.php?id=phoenixinfo_hd
Viu6,http://kele666.serv00.net/Smart.php?id=viusix_twn

央视频道,#genre# 
CCTV-1 综合 HD,http://kele666.serv00.net/Smart.php?id=cctv1
CCTV-2 财经,http://kele666.serv00.net/Smart.php?id=cctv2
CCTV-3 综艺 HD,http://kele666.serv00.net/Smart.php?id=cctv3
CCTV-4 中文国际,http://kele666.serv00.net/Smart.php?id=cctv4
CCTV4 新闻台,http://kele666.serv00.net/Smart.php?id=Cctv4
CCTV-5 体育频道,http://kele666.serv00.net/Smart.php?id=cctv5
CCTV-5+ 体育赛事 HD,http://kele666.serv00.net/Smart.php?id=cctv5plus
CCTV-6,http://kele666.serv00.net/Smart.php?id=cctv6
CCTV-7 军事农业,http://kele666.serv00.net/Smart.php?id=cctv7
CCTV-8 电视剧 HD,http://kele666.serv00.net/Smart.php?id=cctv8hd
CCTV-9 记录 HD,http://kele666.serv00.net/Smart.php?id=cctv9hd
CCTV-10 科教 HD,http://kele666.serv00.net/Smart.php?id=cctv10hd
CCTV-11 戏曲,http://kele666.serv00.net/Smart.php?id=cctv11
CCTV-12 社会与法,http://kele666.serv00.net/Smart.php?id=cctv12
CCTV-13 新闻频道,http://kele666.serv00.net/Smart.php?id=cctv13
CCTV-14 少儿,http://kele666.serv00.net/Smart.php?id=cctv14
CCTV-6,http://kele666.serv00.net/Smart.php?id=cctv6
CCTV-15 音乐,http://kele666.serv00.net/Smart.php?id=cctv15

卫视频道,#genre# 
湖南卫视,http://kele666.serv00.net/Smart.php?id=hunan_twn
浙江卫视,http://kele666.serv00.net/Smart.php?id=zhejiang_twn
江苏卫视,http://kele666.serv00.net/Smart.php?id=jiangsu_twn
深圳卫视,http://kele666.serv00.net/Smart.php?id=shenzhen
福建东南卫视,http://kele666.serv00.net/Smart.php?id=fujian
广东南方卫视,http://kele666.serv00.net/Smart.php?id=nanfang_twn
广东卫视,http://kele666.serv00.net/Smart.php?id=guangdongweishi_twn
北京卫视,http://kele666.serv00.net/Smart.php?id=beijing
珠江台,http://kele666.serv00.net/Smart.php?id=zhujiang
广西卫视,http://kele666.serv00.net/Smart.php?id=guangxi
湖北卫视,http://kele666.serv00.net/Smart.php?id=hubei
四川卫视,http://kele666.serv00.net/Smart.php?id=sichuan_twn
东方卫视,http://kele666.serv00.net/Smart.php?id=dongfangweishi_twn
CGTN,http://kele666.serv00.net/Smart.php?id=CGTN

体育频道,#genre# 
Astro Premier League 1,http://kele666.serv00.net/Smart.php?id=go_assp1
Astro EPL 1 backup,http://kele666.serv00.net/Smart.php?id=go_assp1x
Astro Premier League 2,http://kele666.serv00.net/Smart.php?id=go_assp2
Astro Grandstand,http://kele666.serv00.net/Smart.php?id=go_assp3
Astro Football,http://kele666.serv00.net/Smart.php?id=go_assp4
Astro Sports Plus,http://kele666.serv00.net/Smart.php?id=go_sportsplus
Astro Badminton 1,http://kele666.serv00.net/Smart.php?id=go_badminton1
Astro Badminton 2,http://kele666.serv00.net/Smart.php?id=go_badminton2
Astro W-Sports,http://kele666.serv00.net/Smart.php?id=go_assp5
Supersports 1,http://kele666.serv00.net/Smart.php?id=Assp1
Supersports 2,http://kele666.serv00.net/Smart.php?id=Assp2
Supersports 3,http://kele666.serv00.net/Smart.php?id=Assp3
Supersports 4,http://kele666.serv00.net/Smart.php?id=Assp4
WWE,http://kele666.serv00.net/Smart.php?id=Wwe
Fight Sports,http://kele666.serv00.net/Smart.php?id=Fs
NBA TV,http://kele666.serv00.net/Smart.php?id=Nba
Astro Cricket,http://kele666.serv00.net/Smart.php?id=Acricket
Astro Golf,http://kele666.serv00.net/Smart.php?id=Agolf
Tnt Sports 1,http://kele666.serv00.net/Smart.php?id=6fac0aaead
TNT Sports 2,http://kele666.serv00.net/Smart.php?id=d9a76a79cc
TNT Sports 3,http://kele666.serv00.net/Smart.php?id=5fea4d73db
